State,No of Patents in 2015
AK,32
AL,460
AL-GA,0
AR,521
AR-OK,17
AZ,2538
CA,40106
CO,3049
CT,2161
DC,2310
DE,16
FL,4024
GA,2514
GA-AL,12
HI,127
IA,1015
IA-IL,8
ID,832
ID-WA,3
IL,4989
IL-MO,3
IN,1846
IN-KY,118
KS,1070
KY,240
KY-IL,8
KY-IN,300
LA,399
MA,6839
MD,903
ME,176
MI,5545
MN,4420
MN-WI,34
MO,194
MO-IL,779
MO-KS,4
MS,103
MS-LA,1
MT,125
NC,3368
ND,22
ND-MN,80
NE,286
NH,520
NH-VT,97
NJ,567
NM,421
NV,723
NY,12244
OH,3672
OK,497
OR,2614
OR-ID,3
PA,4397
PR,30
RI,496
SC,865
SD,114
TN,645
TN-KY,8
TX,9938
UT,1298
UT-ID,89
VA,780
VT,408
WA,6108
WI,1908
WI-MI,6
WI-MN,22
WV,122
WV-OH,6
WV-VA,2
WY,56
WY-ID,26
